Segment_Name,Nd143,La_Sm_N,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
MARR59,0.513214,0.502046973,0.763,112.7,2.33,8.76,3,8.81,0.44,1.93,0.05,0.129,0.35
SEIR30,0.512954,0.505573953,0.286,100,1.4,4.73,1.79,4.77,0.277,1.28,0.019,0.05,0.193
MARR195,0.51317532,0.510035038,0.347751005,109.5303676,2.866925624,10.24340039,3.633507835,10.05114706,0.510544185,2.717426035,0.039151091,0.087864029,0.382118706
MARR45,0.513165,0.512178441,0.9785,73.727,1.7895,5.6445,2.2585,5.828,0.454,1.69,0.0415,0.1005,0.3205
MARR106,0.513212,0.513781373,0.671,94.5235,2.547,8.5865,3.2045,8.8455,0.504,2.536,0.0415,0.1065,0.3265
MARR173,0.513221,0.51912657,0.45,122.6,2.08,7.4,2.59,7.67,0.371,1.42,0.04,0.07,0.21
MARR179,0.51331,0.525136494,1.125,91.95,2.23,7.345,2.745,7.29,0.452,1.425,0.0335,0.112,0.275
MARR247,0.513107641,0.528620223,0.377727273,90.7875,1.982083333,6.26625,2.42375,6.709166667,0.4045,1.33,0.0243,0.075333333,0.368052632
GAKK15,0.513072952,0.536199665,1.471743217,162.8769565,2.750075652,9.104861304,3.315337826,9.451372408,0.439439364,2.294368696,0.045825196,0.138714091,0.424690227
CHIL27,0.513125081,0.537864748,25.18666667,129.4,3.035,9.18,3.6475,12.14,0.433,2.185,0.61,2.276,2.7685
GALA4,0.513121,0.540719387,0.57,100.3,3.53,11.71,4.22,11.63,0.615,2.75,0.035,0.126,0.447
SEIR37,0.512995961,0.547919355,0.509333333,90.73333333,2.206666667,6.44,2.603333333,7.123333333,0.402,1.85,0.034,0.1135,0.364666667
MARR97,0.513187366,0.54800209,0.444,99.76422222,2.602865,9.19104,3.070288,8.65995,0.438,2.76674,0.0536467,0.158773,0.39878
MARR117b,0.513189,0.54858676,0.6334372,108.691,2.351342857,8.049788571,2.770641429,7.746102857,0.422427714,1.987772857,0.036715543,0.102180729,0.430782833
EPRR65,0.51315952,0.549018561,1.2925,85.01,2.796,9.317,3.292,8.934,0.5205,2.049,0.054111111,0.1679,0.412666667
SEIR48,0.513041,0.549311834,0.323,92.1,1.98,6.36,2.33,6.38,0.346,1.66,0.019,0,0.288
MARR62,0.513209,0.551781315,0.85,99.541,2.758,8.537,3.231,9.193,0.472,2.458,0.039,0.118,0.399
CIRR2,0.513072,0.553160116,0.733657651,100.9259338,2.783873477,9.00103717,3.2531817,9.023685766,0.483971354,2.33250689,0.034032936,0.109210214,0.535317825
GALA6,0.513113247,0.555609882,0.733333333,91.475,2.1875,6.89,2.545,6.9775,0.41525,1.6925,0.0255,0.097,0.298566667
MARR193,0.513118,0.557619498,0.81,114.8,3.14,10.52,3.64,10.46,0.524,2.41,0.033,0.136,0.32
MARR245,0.51302171,0.559845432,0.613133333,106.4610625,2.913875,9.2846875,3.3644375,9.4300625,0.53375,2.44,0.035571429,0.1225,0.393733333
