SAMPLE_ID,Rb,Sr,La,Ce,Sm,Nd,Lu,Hf,U,Th,Pb
ODP0304-1309D-071R-001/010-013,42.27,1194.09,96.7,151.26,12.09,65.98,0.282,5.04,2.54,10.63,8.22
PETDB-1642-OM95-41,0.1,80,0.06,0.18,0.19,0.35,0.032,0.08,0.002,0.002,0.03
PETDB-1642-OM97-114,0.3,186,0.95,2.94,0.95,2.73,0.16,0.45,0.025,0.033,0.74
PETDB-1642-OM97-52,0.1,155,0.19,0.6,0.44,0.92,0.077,0.2,0.002,0.002,0.36
PETDB-1642-OM97-67,0.1,129,0.18,0.58,0.4,0.86,0.064,0.16,0.002,0.002,0.44
PETDB-1642-OM99-40,0.1,150,0.15,0.47,0.31,0.62,0.051,0.11,0.001,0.005,0.087
PETDB-1642-OM99-44,0.1,129,0.18,0.57,0.45,0.87,0.072,0.14,0.003,0.006,0.039
PETDB-1642-OM99-49,0.1,93,0.17,0.56,0.5,0.92,0.081,0.17,0.001,0.003,0.045
PETDB-1642-OM99-51,0.1,80,0.15,0.48,0.37,0.72,0.058,0.16,0.002,0.004,0.03
PETDB-1642-OM97-106,0.1,138,0.35,1.13,0.77,1.66,0.12,0.34,0.004,0.002,0.31
PETDB-1642-OM97-204,0.5,129,0.27,0.82,0.42,1,0.072,0.2,0.029,0.009,0.56
PETDB-1642-OM97-108,0.1,146,0.21,0.58,0.23,0.6,0.036,0.11,0.014,0.004,2.76
PETDB-1642-OM97-113,0.3,139,1.21,3.57,1.17,3.35,0.18,0.85,0.031,0.075,0.46
PETDB-1642-OM97-209,0.6,225,1.47,4.53,1.55,4.3,0.23,0.81,0.001,0.061,0.059
PETDB-1642-OM97-207,1.5,203,1.41,4.28,1.36,3.94,0.21,0.84,0.001,0.07,0.43
PETDB-1642-OM97-63,0.1,92,0.16,0.4,0.33,0.69,0.059,0.12,0.002,0.001,0.45
PETDB-1908-103471,10.4,373,9.25,24.4,4.86,17.1,0.26,2.14,0.33,0.99,2.2
PETDB-1908-104382,21,248,9.73,24.6,5.02,18.7,0.28,2.6,0.19,0.72,1.9
PETDB-1908-104386,11.8,177,9.64,22.1,3.94,15.3,0.26,2.02,0.23,0.72,4.2
PETDB-2093-AG3I,5.3,234.4,2.7,6.1,1.2,4.3,0.1,0.7,0.23,0.35,1
PETDB-2093-AG3I,5.4,239,1.766,6.199,1.269,4.387,0.139,0.744,0.234,0.359,0.973
PETDB-2093-GU7I,0.8,230.1,0.6,1.5,0.6,1.5,0.1,0.3,0.1,0.05,0.5
PETDB-2093-GU7I,0.8,233,0.579,1.551,0.589,1.535,0.092,0.298,0.099,0.049,0.493
PETDB-2093-GUN,1.2,319,0.873,2.173,0.593,1.821,0.085,0.336,0.131,0.07,0.649
PETDB-2093-PA,4.2,365.1,1.7,4,1,3.3,0.1,0.5,0.08,0.15,0.9
PETDB-2093-PA,4.4,387,1.759,4.113,1.072,3.313,0.137,0.516,0.083,0.153,0.957
PETDB-2093-SA4I,0.4,370,0.77,1.685,0.387,1.246,0.05,0.189,0.03,0.063,0.529
PETDB-2093-SA4II,2.3,371.5,2.7,6.3,1.7,5.1,0.2,0.7,0.13,0.2,3.5
PETDB-2093-AG3II,0.9,343,0.653,1.326,0.232,0.887,0.024,0.109,0.052,0.056,0.46
PETDB-2093-GU7II,2.5,147.2,1.2,3.3,1.2,3.2,0.2,0.7,0.07,0.1,0.9
PETDB-2093-GU7II,2.5,147,1.192,3.244,1.219,3.187,0.178,0.65,0.072,0.105,0.884
PETDB-2093-GUN,1.2,308.6,0.8,2.1,0.6,1.8,0.1,0.3,0.13,0.07,0.6
PETDB-2093-SA3,0.7,218.2,0.9,2.3,1,2.4,0.1,0.4,0.05,0.08,0.6
PETDB-2093-SA3,0.7,220,0.879,2.31,0.97,2.411,0.133,0.408,0.05,0.077,0.652
PETDB-2093-SA4II,2.3,369,2.731,6.316,1.7,5.121,0.235,0.666,0.127,0.2,3.531
PETDB-2093-SAN,3.4,186.3,2.9,6.5,1.4,4.8,0.2,0.7,0.18,0.39,1.3
PETDB-2093-SAN,3.6,200,3.189,7.084,1.577,5.204,0.169,0.766,0.192,0.432,1.4
PETDB-2341-08RDCRB022,1,477,3.57,9.37,2.49,7.87,0.26,0.76,0.08,0.18,1.22
PETDB-2341-08RDMLC021B,1,543,2.86,6.64,1.56,5.42,0.15,0.27,0.08,0.13,1.16
PETDB-2473-HQ1090,40.28,167.17,21.89,44.42,5.06,20.97,0.62,3.77,1.52,7.05,19.17
PETDB-2473-HQ1101,62.65,195.89,11.38,23.8,3.26,12.62,0.4,2.01,0.88,3.92,10.89
PETDB-2951-REF10A,2.94,271,1.101,3.935,3.093,6.68,0.396,0.814,0.048,0.082,0.971
PETDB-2951-REF1,0.834,238,2.203,4.946,1.01,3.46,0.2,0.544,0.066,0.186,0.489
PETDB-3032-LAS13,0.55,253,0.16,0.46,0.12,0.39,0.015,0.033,0.0001,0.001,0.11
PETDB-3032-LAS35,0.84,104,0.18,0.8,0.61,1.34,0.11,0.28,0.0003,0.001,0.08
PETDB-3032-LAS71,0.19,206,0.19,0.66,0.34,0.85,0.06,0.16,0.0002,0.001,0.1
PETDB-3077-CU101,0.68,208,1,5,1.91,5,0.35,1.12,0.02,0.052,0.33
PETDB-3204-S 200 UTU,21.4,734,7.3,17.7,3.1,12.2,0.257,1.74,0.52,0.833,3.35
SHK0466-010,5,244,16.6,54.6,18.2,54.4,1.75,20.3,0.23,0.17,5
VEM0036-019-001,5.7,208,8.54,20.35,3.95,13.7,0.51,1.99,0.214,0.578,0.72
VEM0036-020-006,20.3,230,1.57,3.4,0.74,2.2,0.16,0.44,0.035,0.13,0.269
VEM0036-020-004,3.1,367,3.97,9.85,2.07,7.45,0.21,1.34,0.055,0.152,1.07
PETDB-3470-DW33-1,8.43,1042,15.5,27.2,4.19,19,0.12,4.04,0.27,1.01,6.35
PETDB-3470-D52-25,42.4,909,67.2,135,14,66.7,0.4,10.9,1.68,6.68,7.24
