Group,Distance,Age_shield,Sample_Name,Sr,Nd,Hf
HAWAII - MAUNA KEA,54,0.34,s_SR0778-3.20 [7011],0.703598,5.754637848,11.74036812
HAWAII - MAUNA KEA,54,0.34,s_SR0791-9.50 [7011],0.703601,5.286463921,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0796-6.70 [6456],0.703606,5.16942044,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0800-13.20 [7011],0.70362,5.071884205,11.59891791
HAWAII - MAUNA KEA,54,0.34,s_SR0814-14.40 [7011],0.703641,5.598579872,11.5281928
HAWAII - MAUNA KEA,54,0.34,s_SR0826-20.60 [7011],0.703588,5.110898699,10.99775448
HAWAII - MAUNA KEA,54,0.34,s_SR0836-5.80 [7011],0.703637,4.935333476,11.59891791
HAWAII - MAUNA KEA,54,0.34,s_SR0842-2.35 [7011],0.703617,5.032869711,11.35138002
HAWAII - MAUNA KEA,54,0.34,s_SR0846-2.80 [7011] / s_SR0846-2.8 [6966],0.703547,5.754637848,12.306169
HAWAII - MAUNA KEA,54,0.34,s_SR0850-5.95 [7011],0.703578,5.793652342,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0855-0.10 [7011],0.703509,5.344985662,12.12935622
HAWAII - MAUNA KEA,54,0.34,s_SR0860-8.10 [7011],0.703554,5.42301465,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0871-13.00 [7011],0.703661,4.818289995,11.70500557
HAWAII - MAUNA KEA,54,0.34,s_SR0891-15.10 [7011],0.703571,5.247449427,11.74036812
HAWAII - MAUNA KEA,54,0.34,s_SR0896-2.40 [7011],0.703613,5.305971168,11.42210513
HAWAII - MAUNA KEA,54,0.34,s_SR0899-2.45 [7011],0.70365,5.208434934,11.35138002
HAWAII - MAUNA KEA,54,0.34,s_SR0907-1.65 [7011],0.703557,5.42301465,11.24529236
HAWAII - MAUNA KEA,54,0.34,s_SR0913-2.40 [7011],0.703541,7.120145134,11.77573068
HAWAII - MAUNA KEA,54,0.34,s_SR0916-1.15 [7011],0.70354,5.735130601,12.05863112
HAWAII - MAUNA KEA,54,0.34,s_SR0930-15.85 [7011],0.70358,5.442521897,11.45746769
HAWAII - MAUNA KEA,54,0.34,s_SR0939-18.10 [7011],0.703516,5.754637848,11.98790601
HAWAII - MAUNA KEA,54,0.34,s_SR0940-18.35 [7011],0.703611,4.896318983,11.20992981
HAWAII - MAUNA KEA,54,0.34,s_SR0954-8.00 [7011],0.703728,7.393246591,11.84645579
HAWAII - MAUNA KEA,54,0.34,s_SR0956-18.35 [7011],0.703535,5.442521897,11.9171809
HAWAII - MAUNA KEA,54,0.34,s_SR0964-4.30 [7011],0.703551,5.696116107,11.88181834
HAWAII - MAUNA KEA,54,0.34,s_SR0967-2.75 [7011],0.70359,5.657101613,11.28065491
HAWAII - MAUNA KEA high CaO,54,0.34,R684-9.0-9.2,0.703041,9.500029261,16.79721343
HAWAII - MAUNA KEA high CaO,54,0.34,R685-5.5-6.1,0.703155,8.407623432,15.63024913
HAWAII - MAUNA KEA high CaO,54,0.34,R686-3.9-4.1,0.703143,8.700232136,15.48879891
HAWAII - MAUNA KEA high CaO,54,0.34,R686-4.5-4.7,0.703151,8.583188655,15.52416147
HAWAII - MAUNA KEA high CaO,54,0.34,R686-4.9-5.1,0.703157,8.544174161,15.20589847
HAWAII - MAUNA KEA high CaO,54,0.34,R686-7.7-7.9,0.703158,8.700232136,15.52416147
HAWAII - MAUNA KEA high CaO,54,0.34,R686-9.5-9.7,0.703147,8.758753877,15.55952402
HAWAII - MAUNA KEA high CaO,54,0.34,R687-8.5-8.8,0.70315,8.349101691,15.8070619
HAWAII - MAUNA KEA high CaO,54,0.34,R688-0.0-0.4,0.703149,8.505159667,15.48879891
HAWAII - MAUNA KEA high CaO,54,0.34,R689-1.2-1.4,0.70316,8.622203148,15.06444826
